"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,";"4-40";4;"4-40";;;
2;"C1,C3,C5,C10,C12,C16";"C_0805_HandSoldering";6;"10uF";;;
3;"C2,C4,C8,C9,C18";"C_0805_HandSoldering";5;"10u";;;
4;"C6,C7";"C_0805_HandSoldering";2;"10n";;;
5;"C11,C19,C20";"C_0805_HandSoldering";3;"1u";;;
6;"C13,C14,C15,C17";"C_0805_HandSoldering";4;".1uF";;;
7;"P1";"CONN_MOLEX_.1IN_2x5";1;"CONN_01X10";;;
8;"R1";"R_0805_HandSoldering";1;"2.2k";;;
9;"R2,R3";"R_0805_HandSoldering";2;"16k";;;
10;"R4,R5,R6,R7,R14";"R_0805_HandSoldering";5;"100k";;;
11;"R8,R9";"R_0805_HandSoldering";2;"470";;;
12;"R10,R11";"R_0805_HandSoldering";2;"1M";;;
13;"R12,R13";"R_0805_HandSoldering";2;"500";;;
14;"U1";"781710002";1;"ConnP2";;;
15;"U2";"CMA-4544PF-W";1;"CMA-4544PF-W";;;
16;"U3";"SOIC-8-N";1;"MAX1659ESA";;;
17;"U4";"SOIC-8-N";1;"LT1881";;;
18;"U5";"SOT-23";1;"APE8865N-33-HF-3";;;
19;"U6";"SOIC-8-N";1;"LT1178";;;
20;"U7";"ASFL1";1;"ASFL1-4.00MHZ-L-T";;;
21;"U8";"SOT-23-6";1;"MAX1721";;;
22;"D1,D2";"LED_0805";2;"LED";;;
23;"W1,W2,W3,W4,W5,W6,W7,W8";"TESTPOINT-TH-KEYSTONE5118";8;"TEST_1P";;;
24;"L1";"R_0805";1;"L_Small";;;
25;"U9";"SOIC28-75";1;"dsPIC33EP32MC202-I";;;
26;"C21,C22,C23,C24";"C_0805_HandSoldering";4;"2.2u";;;
27;"U10";"528921495";1;"CONNx14";;;
28;"R15,R16";"R_0805_HandSoldering";2;"12";;;
29;"U11";"JST-SM02B-SRSS-TB";1;"ConnP2";;;
30;"RV1";"POT-TC33X-2-103E";1;"10k";;;
